Author,Book,City,Chapter,Page,Location,Image,Longitude,Latitude,Context.esp,Context.eng,Characters,Reality,Category,Structure type,Exactness
"Muñoz Gijón, Julio",El enigma del evangelio Triana,Sevilla,1,11,"Iglesia de Santa María de la Gracia, Milán",,,,investigadores encuentran otro discipulo en el cuadro de Da Vinci,,,Real,Víctima,Church,1
"Muñoz Gijón, Julio",El enigma del evangelio Triana,Sevilla,2,14,"Cafetería de comisaría Nacional de Policía, avenida Blas Infante",,-6.006023,37.375934,Jiménez con compañeros de policía,,Jiménez,Real,Investigador,Municipal,1
"Muñoz Gijón, Julio",El enigma del evangelio Triana,Sevilla,3,16,"Despacho de Acosta, Roma",,,,Oficina de Antonio Acosta,,,Fictional,Víctima,Church,5
"Muñoz Gijón, Julio",El enigma del evangelio Triana,Sevilla,5,19,Ciudad del Vaticano,,,,Antonio Acosta se reúne con un Cardenal,,,Real,Víctima,Church,5
"Muñoz Gijón, Julio",El enigma del evangelio Triana,Sevilla,6,23,"Comisaría Policía Nacional, avenida Blas Infante",,-6.006023,37.375934,"Jiménez está castigado, no sale a la calle.  Atiende a un caso de denuncia de robo",,Jiménez,Real,Investigador,Municipal,1
"Muñoz Gijón, Julio",El enigma del evangelio Triana,Sevilla,7,29,"Despacho de Acosta, Roma",,,,"Acosta habla con su estudiante, Lucía",,Lucía,Fictional,Víctima,Municipal,5
"Muñoz Gijón, Julio",El enigma del evangelio Triana,Sevilla,8,32,"Despacho de Cardenal Daoiz, Vaticano",,,,Daoiz encarga a Calígula para acabar con el descubrimiento de Acosta,,Calígula,Fictional,Sospechoso,Church,5
"Muñoz Gijón, Julio",El enigma del evangelio Triana,Sevilla,10,36,"Comisaría Policía Nacional, avenida Blas Infante",,-6.006023,37.375934,Jiménez sigue tomando declaraciones,,Jiménez,Real,Investigador,Municipal,1
"Muñoz Gijón, Julio",El enigma del evangelio Triana,Sevilla,11,40,Afuera del edificio de Acosta,,,,"Lucía llega justo cuando la policía levanta el cadáver de Acosta, asesinado",,Lucía,Fictional,Cuerpo,Exterior,5
"Muñoz Gijón, Julio",El enigma del evangelio Triana,Sevilla,12,41,"Despacho de Cardenal Daoiz, Vaticano",,,,Daoiz se enfada con Calígula por el asesinato,,Calígula,Fictional,Sospechoso,Church,5
"Muñoz Gijón, Julio",El enigma del evangelio Triana,Sevilla,13,43,"Despacho de Acosta, Roma",,,,Lucía examina los papeles de Acosta con la policía italiana,,Lucía,Fictional,Investigador,Municipal,5
"Muñoz Gijón, Julio",El enigma del evangelio Triana,Sevilla,14,47,"Bar Las Golondrinas, calle Antonio Campos",,-6.005495,37.384853,Calígula tortura y mata a un miembro de Serva la Bari,,Calígula,Real,Cuerpo,Business,1
"Muñoz Gijón, Julio",El enigma del evangelio Triana,Sevilla,15,50,"Comisaría Policía Nacional, avenida Blas Infante",,-6.006023,37.375934,Jiménez habla con Villanueva por teléfono,,"Villanueva, Jiménez",Real,Investigador,Municipal,1
"Muñoz Gijón, Julio",El enigma del evangelio Triana,Sevilla,16,54,Santa Justa,,-5.975493,37.392186,Lucía llega a Sevilla en AVE,,Lucía,Real,Investigador,Transport,1
"Muñoz Gijón, Julio",El enigma del evangelio Triana,Sevilla,17,56,Calle Antonio Campos,,-6.005495,37.384853,Andalucía Directo hace un reportaje sobre el cadáver encontrado en Las Golondrinas,,,Real,Víctima,Exterior,1
