Author,Book,Chapter,Page,Location,Latitude,Longitude,Image,Context esp,Context eng,Characters,Reality,Category,Structure type,Exactness
José Millás,La soledad era esto,1,15,Piso de Elena: Piso alto en la zona norte de Madrid,40.444539,-3.668518,,"Ubicación no exacta, hay varias opciones alrededor de La Prosperidad",,"Elena, Enrique",Fictional,Victim,Home,5
José Millás,La soledad era esto,2,29,"Cafetería, dirección calle Francisco Silvela",40.442887,-3.675816,,,,Elena,Fictional,Victim,Bar Restaurant,5
José Millás,La soledad era esto,2,30,Calle de María de Molina,40.437936,-3.685861,,Elena camina por esta calle dirección a la Castellana cuando empieza a sentirse mal,,Elena,Real,Victim,Exterior,5
José Millás,La soledad era esto,2,31,Guardería en la calle María de Moliner,40.438012,-3.688277,,Elena entra aquí para usar el baño,,Elena,Fictional,Victim,Business,5
José Millás,La soledad era esto,3,40,Barrio infantil de Elena / Piso de la madre de Elena,,,,,,Elena,Fictional,Victim,Home,5
José Millás,La soledad era esto,4,65,Oficina de correos,40.444247,-3.675983,,Elena recoge los informes del detective,,Elena,Real,Victim,Municipal,1
José Millás,La soledad era esto,4,65,Cafetería en calle Clara del Rey,40.444603,-3.66847,,Elena lee el informe aquí. Ubicación no exacta,,Elena,Fictional,Victim,Bar Restaurant,5
José Millás,La soledad era esto,4,66,Oficina de Enrique (informe),40.440538,-3.708781,,El detective menciona la ubicación de la oficina de Enrique. Calle Julio Casares no existe.,,"Enrique, Detective",Fictional,Investigator,Business,5
José Millás,La soledad era esto,4,66,Aeropuerto de Barajas,40.465999,-3.569875,,Informe Detective: Enrique sale de Madrid,,"Enrique, Detective",Real,Investigator,Transport,1
José Millás,La soledad era esto,4,66,Alicante,38.342339,-0.490109,,Informe Detective: Enrique pasa el fin de semana aquí con su amante,,"Enrique, Detective",Fictional,Investigator,Hotel,5
José Millás,La soledad era esto,4,68,"Piso de Mercedes, hija de Elena, en calle Corazón de María",40.445844,-3.666749,,"Elena camina aquí después de leer el informe, pero no entra. Ubicación no exacta",,Elena,Fictional,Victim,Exterior,5
José Millás,La soledad era esto,4,69,Calle López de Hoyos,40.44715,-3.669631,,"Elena camina aquí después de pasar enfrente de la casa de su hija (sin llamar), toma un taxi para volver a casa",,Elena,Real,Victim,Exterior,3
José Millás,La soledad era esto,SP,111,Calle Joaquín Costa,40.44464,-3.684786,,Informe Detective: Elena camina aquí para llegar a la Castellana,,"Elena, Detective",Real,Investigator,Exterior,3
José Millás,La soledad era esto,SP,111,La castellana,40.446612,-3.691078,,Informe Detective: Elena camina por aquí para llegar a El Corte Inglés,,"Elena, Detective",Real,Investigator,Exterior,3
José Millás,La soledad era esto,SP,111,El Corte Inglés complejo AZCA,40.446887,-3.693979,,Informe Detective: Elena prueba ropa aquí,,"Elena, Detective",Real,Investigator,Business,1
José Millás,La soledad era esto,SP,149,Bruselas,50.848155,4.349352,,Elena va con Enrique en un viaje de negocios,,"Elena, Enrique",Real,Victim,Hotel,5
José Millás,La soledad era esto,SP,181,Calle Velázquez,40.437411,-3.683067,,Le atracan a Elena cerca de aquí mientras está de compras,,"Elena, Detective",Real,Victim,Exterior,5
José Millás,La soledad era esto,SP,181,El nuevo piso de Elena,40.448678,-3.678168,,"Cerca de la plaza de Cataluña, según el informe del detective",,Elena,Fictional,Victim,Home,5
