Author,Book,City,Chapter,Page,Location,Latitude,Longitude,Image,Context esp,Context eng,Characters,Reality,Category,Structure type,Exactness
Riera,Naturaleza,Barcelona,1,11,la Universidad Autónoma de Barcelona,41.50256,2.1042,https://img.culturacolectiva.com/content/2017/01/autonoma-de-barcelona-.jpg,ubicación del prólogo (con mapa),Location mentioned in prologue (book provides map),Narrador,Real,Sospechoso,Municipal,1
Riera,Naturaleza,Barcelona,1,11,la facultad de Filosofía y Letras,41.502714,2.107820769,"http://www.uab.cat/Imatge/103/649/lletres,0.gif",ubicación del prólogo (con mapa),Location mentioned in prologue (book provides map),Narrador,Real,Sospechoso,Municipal,1
Riera,Naturaleza,Barcelona,1,13,estación de tren de Bellaterra,41.500888,2.090515,,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,Narrador,Real,Investigador,Transport,1
Riera,Naturaleza,Barcelona,1,13,estación de tren de Cerdañola,41.497197,2.115333,,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,Narrador,Real,Investigador,Transport,1
Riera,Naturaleza,Barcelona,1,13,"la Vila Universitaria, UAB",41.49942944,2.097066559,,carteles con la foto de Constantinu Iliescu,"posters displayed here with Constantinu Iliescu's picture, student apartments",Narrador,Real,Investigador,Home,2
Riera,Naturaleza,Barcelona,1,13,Vila de Gràcia,41.408949,2.151883,,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,Narrador,Real,Investigador,Exterior,3
Riera,Naturaleza,Barcelona,1,13,el cine Verdi,41.404345,2.157777,,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,Narrador,Real,Investigador,Business,1
Riera,Naturaleza,Barcelona,1,13,el metro de Fontana,41.402629,2.152726,,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,Narrador,Real,Investigador,Transport,1
Riera,Naturaleza,Barcelona,1,13,el metro de Lesseps,41.405741,2.150406,,carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,Narrador,Real,Investigador,Transport,1
Riera,Naturaleza,Barcelona,1,20,la oficina de Casasaies,41.502894,2.107509,,Casasies se reune con los estudiantes sobre la desaparición de Iliescu,Meeting of Casasaies and Bellpuig with the students,"Casasaies, Bellpuig, Laura, Bru, Doménica",Real,Investigador,Municipal,2
Riera,Naturaleza,Barcelona,2,27,la pensión La Palomera,41.379453,2.168721,,"lugar de residencia de Iliescu en Barcelona, pero solamente está aquí durante dos días en agosto","Iliescu's residence in Barcelona, only here two days in August before moving again",Iliescu,Fictional,Sospechoso,Hotel,5
Riera,Naturaleza,Barcelona,2,27,Bucarest,44.426772,26.108026,,"dirección permanente de Iliescu, pero Iliescu se había mudado","Iliescu's permanent address, but he has moved",Iliescu,Fictional,Sospechoso,Home,5
Riera,Naturaleza,Barcelona,2,33,los estudios de TV3,41.374048,2.070974769,,Laura Cremona es entrevistada en el telediario de la noche,Laura Cremona is interviewed on the evening news,Laura,Real,Investigador,Business,1
Riera,Naturaleza,Barcelona,2,42,la comisaría de Cerdañola,41.486248,2.123817,,Rosa Casasaies y Doménica Arrigo denuncian la desaparición de Laura Cremona,Rosa C and Doménica A report the disappearance of Laura C,Mozos,Real,Investigador,Municipal,1
Riera,Naturaleza,Barcelona,2,47,el aeropuerto del Prat,41.297821,2.083262,,Rosa Casasaies y Antoni Capllonc reciben a los padres de Laura Cremona,Rosa C and Antoni C greet Laura's parents,"Las señoras Cremona-Hogarth, Cassasaies, Capllonc ",Real,Investigador,Transport,1
Riera,Naturaleza,Barcelona,2,48,Milán,45.464425,9.186577,,las señoras Cremona-Hogarth vienen de Milán,Ms. and Ms. Cremona-Hogarth live in Milan,Las señoras Cremona-Hogarth,Fictional,Víctima,Home,5
Riera,Naturaleza,Barcelona,2,49,la Universidad Autónoma de Barcelona,41.50202,2.104511769,,los padres de Laura Cremona reunen con las autoridades académicas,Laura's parents meet with academic authorities,Las señoras Cremona-Hogarth,Real,Investigador,Municipal,4
Riera,Naturaleza,Barcelona,2,55,los estudios de TV3,41.374588,2.070663,,"Según Manuela Vázquez, nadie sale caminando de los estudios de televisión","According to Manuela Vazquez, no one walks to/from the TV3 television studios",Mozos,Real,Investigador,Business,1
Riera,Naturaleza,Barcelona,3,58,la comisaría de Cerdañola,41.48599925,2.124159381,,Manuela Vázquez aparenta una enfermedad para no hablar con la prensa,Manuela V fakes an illness in order to not have to talk to the press,Mozos,Real,Investigador,Municipal,1
Riera,Naturaleza,Barcelona,3,67,el restaurante Hispània de Arenys de Mar,41.571221,2.532542,,"los padres de Laura comen con el cónsul Italiano, Dante Braccalente","Laura's parents eat with the Italian consul, Dante B",las señoras Cremona-Hogarth,Real,Víctima,Bar Restaurant,1
Riera,Naturaleza,Barcelona,3,71,la facultad de Filosofía y Letras,41.502534,2.107509,,una asamblea/manifestacián sobre las desapariciones de Iliescu y Cremona,An assembly/protest regarding the disappearances of Iliescu and Cremona,Narrador,Real,Víctima,Municipal,2
