Author,Book,Chapter,Page,Location,Image,Latitude,Longitude,Context.esp,Context.eng,Characters,Reality,Category,Structure.type,Exactness
Muñoz Gijón,Sevilla Este,1,8,Catacumbas de FIBES,,37.404295,-5.932112,"Miembros de Serva la Bari recuperan el monstruo ""Barbudo"" ",,"Barbudo, Hermano Mayor, Serva la Bari",Semi-real,Sospechoso,Municipal,1
Muñoz Gijón,Sevilla Este,2,28,Mateos Gago,,37.386136,-5.991415,Jimenez ve un grupo de gente arremolinada cerca de una unidad móvil de Andalucía Directo emitiendo,,Jiménez,Real,Investigador,Exterior,3
Muñoz Gijón,Sevilla Este,3,28,La Giralda,https://urbansevilla.es/wp-content/uploads/2019/06/la-giralda-sevilla-airpano.jpg,37.386207,-5.992701,El arco inclinado de la Giralda se queda recta,,,Real,Sospechoso,Monument,1
Muñoz Gijón,Sevilla Este,5,40,Comisaría en Madrid,,40.421607,-3.710223,Jiménez llama a Villanueva para avisarle sobre el asesinato,,"Villanueva, Jiménez",Real,Investigador,Municipal,1
Muñoz Gijón,Sevilla Este,6,44,FNAC en Sevilla con el primer mensaje de Serva La Bari,,37.387237,-5.994434,Tienda con el primer mensaje de Serva La Bari escrito en las ventanas,,"Villanueva, Jiménez",Semi-real,Investigador,Municipal,1
Muñoz Gijón,Sevilla Este,6,48,Plaza Sony de la Expo '92,,37.412191,-6.004319,"Primer cuerpo esta descubierto aqui, lo de Curro quien era la mascota de la Expo '92",,"Richardo ""Curro"" Agustín (V1)",Semi-real,Cuerpo,Municipal,1
Muñoz Gijón,Sevilla Este,7,52,Casa baja en Rochelambert,,37.373248,-5.952084,"Villanueva y Jiménez hablan con Palmerín y su esposa, amigos del primer víctima",,"Villanueva, Jiménez, Palmerín, mujer de Palmerín",Fictional,Investigador,Home,5
Muñoz Gijón,Sevilla Este,8,68,Bar El Gollete,,37.390666,-5.994291,Villanueva viene a beber un whiskey,,Villanueva,Fictional,Descanso,Bar Restaurant,3
Muñoz Gijón,Sevilla Este,9,78,Tanatorio del (hospital) Virgen del Rocío,https://www.diariodesevilla.es/2018/12/08/sevilla/hospital-Virgen-Rocio-Sevilla_1307579815_92304075_667x375.jpg,37.362094,-5.979753,El forense revela que el cuerpo tiene la cara llena de Betadine y que todos sus huesos rotos,,"Villanueva, Jiménez, Antonio Povedano",Real,Pista,Municipal,1
Muñoz Gijón,Sevilla Este,10,84,El Círculo Mercantil,,37.390331,-5.994271,Miembros de Serva la Bari reunen aquí,,"Hermano Mayor, Serva la Bari",Real,Sospechoso,Business,1
Muñoz Gijón,Sevilla Este,11,98,El hotel HABA Triana,https://d.otcdn.com/imglib/hotelfotos/8/155/hotel-ribera-de-triana-sevilla-032.jpg,37.389134,-6.007478,Villanueva habla con la comisaría,,"Villanueva, Comisaría",Semi-real,Investigador,Hotel,1
Muñoz Gijón,Sevilla Este,12,102,El Estadio Olímpico,,37.417092,-6.004562,"El segundo cuerpo esta descubierto aquí, ahogado en el estadio llena de agua. Era el alcalde durante la Expo '92",,"Alejandro Rosas Barcos (V2), Villanueva, Jiménez",Real,Cuerpo,Municipal,1
Muñoz Gijón,Sevilla Este,13,112,La comisaría de la Policia Nacional,,37.393243,-5.995929,La comisaría dice que han penetrado en Serva La Bari y que ellos tienen una máquina para control el tiempo,,"Villanueva, Jiménez, Comisaría",Real,Pista,Municipal,1
Muñoz Gijón,Sevilla Este,14,122,El hotel HABA Triana,https://d.otcdn.com/imglib/hotelfotos/8/155/hotel-ribera-de-triana-sevilla-032.jpg,37.389136,-6.007477,"Jiménez revela que segun sus recursos, Serva la Bari tiene un tipo de monstruo",,"Villanueva, Jiménez",Real,Pista,Hotel,1
