Author,Book,City,Chapter,Page,Location,Image,Longitude,Latitude,Context.esp,Context.eng,Characters,Reality,Category,Structure.type,Exactness
Muñoz Gijón,Sevilla Este,Sevilla,1,8,Catacumbas de FIBES,,-5.932821,37.404194,"Miembros de Serva la Bari recuperan el monstruo ""Barbudo"" ","Members of Serva la Bari revive the monster ""Barbudo""","Barbudo, Hermano Mayor, Serva la Bari",Semi-real,Sospechoso,Municipal,1
Muñoz Gijón,Sevilla Este,Sevilla,2,28,Mateos Gago,,-5.991415,37.386136,Jimenez ve un grupo de gente arremolinada cerca de una unidad móvil de Andalucía Directo emitiendo,Jiménez sees a group of people surrounding a press truck of Andalucia Directo,Jiménez,Real,Investigador,Exterior,3
Muñoz Gijón,Sevilla Este,Sevilla,3,28,La Giralda,https://urbansevilla.es/wp-content/uploads/2019/06/la-giralda-sevilla-airpano.jpg,-5.992701,37.386207,El arco inclinado de la Giralda se queda recta,The inclined arch of the Giralda is now straight,,Real,Sospechoso,Monument,1
Muñoz Gijón,Sevilla Este,Sevilla,5,40,Comisaría en Madrid,,-3.710223,40.421607,Jiménez llama a Villanueva para avisarle sobre el asesinato,Jiménez calls Villanueva to inform him of the death,"Villanueva, Jiménez",Real,Investigador,Municipal,1
Muñoz Gijón,Sevilla Este,Sevilla,6,44,FNAC en Sevilla con el primer mensaje de Serva La Bari,,-5.994434,37.387237,Tienda con el primer mensaje de Serva La Bari escrito en las ventanas,The bookstore with the first message from Serva la Bari,"Villanueva, Jiménez",Semi-real,Investigador,Municipal,1
Muñoz Gijón,Sevilla Este,Sevilla,6,48,Plaza Sony de la Expo '92,,-6.004319,37.412191,"Primer cuerpo esta descubierto aqui, lo de Curro quien era la mascota de la Expo '92","The first body is found here, it is ""Curro"", the mascot of Expo '92","Richardo ""Curro"" Agustín (V1)",Semi-real,Cuerpo,Municipal,1
Muñoz Gijón,Sevilla Este,Sevilla,7,52,Casa baja en Rochelambert,,-5.952084,37.373248,"Villanueva y Jiménez hablan con Palmerín y su esposa, amigos del primer víctima","Villanueva and Jiménez talk with Palmerín and his wife, friends of the first victim","Villanueva, Jiménez, Palmerín, mujer de Palmerín",Fictional,Investigador,Home,5
Muñoz Gijón,Sevilla Este,Sevilla,8,68,Bar El Gollete,,-5.994291,37.390666,Villanueva viene a beber un whiskey,Villanueva comes here to drink a whisky,Villanueva,Fictional,Descanso,Bar Restaurant,3
Muñoz Gijón,Sevilla Este,Sevilla,9,78,Tanatorio del (hospital) Virgen del Rocío,https://www.diariodesevilla.es/2018/12/08/sevilla/hospital-Virgen-Rocio-Sevilla_1307579815_92304075_667x375.jpg,-5.979752,37.362094,El forense revela que el cuerpo tiene la cara llena de Betadine y que todos sus huesos rotos,The forensic doctor reveals that all the bones in the body are broken,"Villanueva, Jiménez, Antonio Povedano",Real,Pista,Municipal,1
Muñoz Gijón,Sevilla Este,Sevilla,10,84,El Círculo Mercantil,,-5.994271,37.390331,Miembros de Serva la Bari reunen aquí,Members of Serva la Bari meet here,"Hermano Mayor, Serva la Bari",Real,Sospechoso,Business,1
Muñoz Gijón,Sevilla Este,Sevilla,11,98,El hotel HABA Triana,https://d.otcdn.com/imglib/hotelfotos/8/155/hotel-ribera-de-triana-sevilla-032.jpg,-6.007477,37.389134,Villanueva habla con la comisaría,Villanueva speaks to the comissioner,"Villanueva, comisaria Cruz",Semi-real,Investigador,Hotel,1
Muñoz Gijón,Sevilla Este,Sevilla,12,102,El Estadio Olímpico,,-6.004562,37.417092,"El segundo cuerpo esta descubierto aquí, ahogado en el estadio llena de agua. Era el alcalde durante la Expo '92","The second body is found here, drowned in the flooded stadium. It is the mayor during the Expo '92","Alejandro Rosas Barcos (V2), Villanueva, Jiménez",Real,Cuerpo,Municipal,1
Muñoz Gijón,Sevilla Este,Sevilla,13,112,La comisaría de la Policia Nacional,,-5.995929,37.393243,La comisaría dice que han penetrado en Serva La Bari y que ellos tienen una máquina para control el tiempo,The comissioner says that the police have infilitrated Serva la Bari and that they know about a machine that can control the weather,"Villanueva, Jiménez, comisaria Cruz",Real,Pista,Municipal,1
Muñoz Gijón,Sevilla Este,Sevilla,14,122,El hotel HABA Triana,https://d.otcdn.com/imglib/hotelfotos/8/155/hotel-ribera-de-triana-sevilla-032.jpg,-6.007477,37.389134,"Jiménez revela que segun sus recursos, Serva la Bari tiene un tipo de monstruo",Jiménez reveals that according to his sources Serva la Bari have some kind of monster,"Villanueva, Jiménez",Real,Pista,Hotel,1
Muñoz Gijón,Sevilla Este,Sevilla,15,134,El hotel HABA Triana,https://d.otcdn.com/imglib/hotelfotos/8/155/hotel-ribera-de-triana-sevilla-032.jpg,-6.007477,37.389134,Mensaje en la tele amenazando a Villanueva,A message on the television threatening Villanueva,"Villanueva, Jiménez",Real,Sospechoso,Hotel,1
Muñoz Gijón,Sevilla Este,Sevilla,16,140,Ayuntamiento de Sevilla,,-5.994462,37.388658,Villanueva y Jiménez hablan con el alcalde sobre el mensaje amenazante,Villanueva and Jiménez talk to the mayor about the threatening message,"Villanueva, Jiménez, José Ignacio Podio",Real,Investigador,Exterior,1
Muñoz Gijón,Sevilla Este,Sevilla,17,148,Antiguo hospital psiquiátrico de Miraflores,,-5.954271,37.422996,Villanueva y Jiménez separan y Barbudo pelea a Villanueva,"Villanueva and Jiménez separate, and Barbudo attacks Villanueva","Villanueva, Barbudo",Semi-real,Investigador,Municipal,1
Muñoz Gijón,Sevilla Este,Sevilla,18,156,Antiguo hospital psiquiátrico de Miraflores,,-5.954271,37.422996,"Jiménez encontra el tercer cuerpo, lo de un rapero","Jiménez finds the third body, of a rapper","Tote Ring (V3), Jiménez",Semi-real,Cuerpo,Municipal,1
Muñoz Gijón,Sevilla Este,Sevilla,19,160,Tanatorio del (hospital) Virgen del Rocío,https://www.diariodesevilla.es/2018/12/08/sevilla/hospital-Virgen-Rocio-Sevilla_1307579815_92304075_667x375.jpg,-5.979752,37.362094,"Villanueva y Jiménez hablan con Javier, amigo de Tote Ring","Villanueva and Jiménez talk to Javier,a friend of Tote Ring","Villanueva, Jiménez, Javier, Paná",Real,Investigador,Municipal,1
Muñoz Gijón,Sevilla Este,Sevilla,20,182,Restaurante el Menda,,-5.938731,37.402084,Villanueva y Jiménez cuestionan a Antonio de sus clientes,Villanueva and Jiménez question Antonio about his clients,"Villanueva, Jiménez, Antonio",Semi-real,Investigador,Bar Restaurant,1
Muñoz Gijón,Sevilla Este,Sevilla,21,202,Bar cerca de Ministerio del Interior,,-3.689357,40.426315,Jiménez descansa en un bar mientras Villanueva está en el Ministerio del Interior,Jiménez rests at a bar while Villanueva enters the Ministry of Interior,Jiménez,Fictional,Descanso,Bar Restaurant,3
Muñoz Gijón,Sevilla Este,Sevilla,21,202,Ministerio del Interior,,-3.690777,40.426855,Villanueva va al Ministerio del interior para conseguir informacion,Villanueva goes to the Ministry of Interior to get some information,Villanueva,Real,Investigador,Municipal,1
Muñoz Gijón,Sevilla Este,Sevilla,22,214,Bar Lambuzo,,-3.708124,40.418801,"Jiménez cambia de ubicacion a este bar sevillano y invita a Villanueva aqui, donde hablan con Pepe sobre Manuel Poto","Jiménez moves to a different bar, where he invites Villanueva. They talk to Pepe about José Mauel Poto","Villanueva, Jiménez, Pepe",Real,Investigador,Bar Restaurant,1
Muñoz Gijón,Sevilla Este,Sevilla,23,228,Bar Guay No?,,-3.698644,40.421667,Villanueva y Jiménez vienen a este Gay bar para conseguir la autorización del director general para ver a Poto,Villanueva and Jiménez come to this gay bar to get the signature of the director general so they can see Poto,"Villanueva, Jiménez, Pere Rovirat",Semi-real,Investigador,Bar Restaurant,1
Muñoz Gijón,Sevilla Este,Sevilla,25,266,Pajaritos de Triana,,-6.008589,37.381803,"El cuarto cuerpo está descubierto qui, por la hija del dueño de este bar",The fourth body is discovered by the daughter of the owner of this bar,Norberto (V4),Semi-real,Cuerpo,Bar Restaurant,1
Muñoz Gijón,Sevilla Este,Sevilla,25,266,Pajaritos de Triana,,-6.008589,37.381803,"Villanueva y Jiménez hablan con la hija de Norberto, el cuarto víctima, dueño de este bar famoso",Villanueva and Jiménez talk to the daughter of the fourth victim,"Villanueva, Jiménez",Semi-real,Cuerpo,Bar Restaurant,1
Muñoz Gijón,Sevilla Este,Sevilla,27,280,El hotel HABA Triana,https://d.otcdn.com/imglib/hotelfotos/8/155/hotel-ribera-de-triana-sevilla-032.jpg,-6.007477,37.389134,Villanueva ve la entrevista con el Hermano Mayor en la tele,Villanueva watches the interview with Hermano Mayor,Villanueva,Real,Investigador,Hotel,1
Muñoz Gijón,Sevilla Este,Sevilla,28,292,Despacho de Jesús Gamero,,-5.998759,37.406097,Villanueva y Jiménez vienen a hablar con el periodista quien entrevistó al Hermano Mayor,Villanueva and Jiménez talk to the journalist who interviewed Hermano Mayor,"Villanueva, Jiménez, Jesús Gamero",Real,Investigador,Business,1
