Author,Book,City,Chapter,Page,Location,Image,Context.esp,Context.eng,Latitude,Longitude,Characters,Reality,Category,Exactness,Structure type,Date in novel
Riera,Vengare tu muerte,Barcelona,1,15,Casa de Montserrat,,"Donde vive Montserrat, la que encarga la investigación.  La novela dice que vive en el tercer piso; en realidad el edificio termina con el segundo piso.",,41.732309,1.823585,,Real,Víctima,1,Home,2010-11-12
Riera,Vengare tu muerte,Barcelona,2,23,Casa de Elena Martínez,,"Vive aquí, en el número 30, en el barrio de Sarrià.",,41.398626,2.123273,,Real,Investigador,1,Home,2010-11-12
Riera,Vengare tu muerte,Barcelona,2,24,Oficina de Solivellas,,"Lugar donde trabaja Solivellas. Elena camina desde su casa hasta aquí con su perro, bajando por la Vía Augusta",,41.395732,2.148967,,Real,Víctima,1,Business,2010-11-12
Riera,Vengare tu muerte,Barcelona,2,26,Trayecto de Elena,,Elena y su perro encuentran a otro perro/amo mientras ella va caminando al trabajo de Solivellas,,41.398231,2.141741,,Real,Investigador,1,Exterior,2010-11-12
Riera,Vengare tu muerte,Barcelona,2,28,Oficina de Solivellas,,"Lugar donde trabaja Solivellas. Elena camina desde su casa hasta aquí con su perro, bajando por la Vía Augusta",,41.395732,2.148967,,Real,Víctima,1,Business,2010-11-12
Riera,Vengare tu muerte,Barcelona,2,29,Tívoli deli,,Elena compra la cena aquí después de visitar el trabajo de Solivellas,,41.398654,2.143498,,Real,Investigador,1,Bar Restaurant,2010-11-12
Riera,Vengare tu muerte,Barcelona,3,31,Casa de Elena Martínez,,Vuelve a casa con la cena y con su amigo Jaume,,41.398626,2.123273,,Real,Investigador,1,Home,2010-11-12
Riera,Vengare tu muerte,Barcelona,3,35,Carrer de Calvet,,"Elena y Jaume bajan esta calle en moto rumbo al bar ""el Sancho""",,41.395674,2.142306,,Real,Investigador,1,Exterior,2010-11-12
Riera,Vengare tu muerte,Barcelona,3,36,Bar el Sancho,,Elena y Jaume preguntan al camarero si conoce al Solivellas. El bar queda al otro lado de la calle de su oficina; en realidad no existe,,41.395625,2.148813,,Fictional,Investigador,2,Bar Restaurant,2010-11-12
Riera,Vengare tu muerte,Barcelona,4,39,Dry Martini Bar,,Elena y Jaume terminan la noche en este bar,,41.392655,2.154225,,Real,Investigador,1,Bar Restaurant,2010-11-12
Riera,Vengare tu muerte,Barcelona,4,41,Parking privado,,Elena alquila un parking cerca de su piso,,41.40051,2.122792,,Real,Investigador,1,Transport,2010-11-13
Riera,Vengare tu muerte,Barcelona,4,43,Casa de Montserrat,,"Elena va a su casa por primera vez. La novela dice que es un edificio de ""alto standing"", no lo parece en realidad",,41.732309,1.823585,,Real,Víctima,1,Home,2010-11-13
